iter	Passed	Remaining
899	33457	10929
900	33494	10892
901	33530	10854
902	33562	10815
903	33602	10779
904	33641	10742
905	33676	10705
906	33714	10668
907	33755	10632
908	33796	10596
909	33832	10558
910	33868	10521
911	33907	10484
912	33940	10446
913	33974	10408
914	34016	10372
915	34051	10334
916	34091	10297
917	34127	10260
918	34165	10223
919	34202	10186
920	34239	10149
921	34275	10111
922	34311	10074
923	34349	10037
924	34385	9999
925	34421	9962
926	34458	9924
927	34496	9887
928	34533	9850
929	34573	9814
930	34611	9777
931	34647	9740
932	34685	9702
933	34724	9666
934	34763	9629
935	34802	9593
936	34840	9555
937	34874	9518
938	34912	9481
939	34945	9442
940	34980	9405
941	35022	9369
942	35058	9331
943	35095	9294
944	35134	9257
945	35170	9220
946	35210	9183
947	35247	9146
948	35284	9109
949	35321	9071
950	35358	9034
951	35396	8997
952	35428	8959
953	35467	8922
954	35504	8885
955	35541	8848
956	35582	8811
957	35616	8774
958	35653	8736
959	35688	8699
960	35726	8662
961	35758	8623
962	35797	8586
963	35834	8549
964	35873	8512
965	35905	8474
966	35940	8436
967	35977	8399
968	36014	8362
969	36048	8324
970	36088	8288
971	36125	8250
972	36158	8212
973	36191	8174
974	36226	8137
975	36266	8100
976	36306	8063
977	36345	8027
978	36384	7990
979	36417	7952
980	36454	7915
981	36495	7878
982	36536	7842
983	36574	7805
984	36608	7767
985	36646	7730
986	36694	7695
987	36730	7658
988	36764	7620
989	36801	7583
990	36832	7544
991	36872	7508
992	36912	7471
993	36948	7434
994	36983	7396
995	37017	7358
996	37058	7322
997	37096	7285
998	37132	7248
999	37166	7210
1000	37201	7172
1001	37234	7134
1002	37268	7096
1003	37306	7059
1004	37343	7022
1005	37378	6985
1006	37412	6947
1007	37444	6909
1008	37482	6872
1009	37516	6834
1010	37553	6797
1011	37589	6760
1012	37624	6722
1013	37660	6685
1014	37704	6649
1015	37742	6612
1016	37779	6575
1017	37813	6537
1018	37854	6500
1019	37891	6463
1020	37926	6426
1021	37964	6389
1022	37999	6351
1023	38036	6314
1024	38073	6277
1025	38109	6240
1026	38146	6202
1027	38181	6165
1028	38217	6128
1029	38254	6091
1030	38287	6053
1031	38324	6016
1032	38361	5978
1033	38393	5941
1034	38426	5903
1035	38460	5865
1036	38491	5827
1037	38525	5789
1038	38560	5752
1039	38597	5715
1040	38632	5677
1041	38665	5640
1042	38701	5603
1043	38735	5565
1044	38766	5527
1045	38808	5491
1046	38848	5454
1047	38884	5417
1048	38922	5380
1049	38955	5342
1050	38991	5305
1051	39029	5268
1052	39062	5230
1053	39098	5193
1054	39130	5155
1055	39164	5118
1056	39199	5080
1057	39237	5043
1058	39275	5006
1059	39312	4969
1060	39347	4932
1061	39378	4894
1062	39413	4857
1063	39450	4820
1064	39482	4782
1065	39517	4745
1066	39553	4707
1067	39586	4670
1068	39622	4633
1069	39654	4595
1070	39684	4557
1071	39715	4519
1072	39748	4482
1073	39784	4445
1074	39822	4408
1075	39854	4370
1076	39893	4333
1077	39930	4296
1078	39967	4259
1079	40002	4222
1080	40040	4185
1081	40072	4147
1082	40104	4110
1083	40139	4073
1084	40174	4035
1085	40210	3998
1086	40243	3961
1087	40278	3924
1088	40314	3887
1089	40350	3849
1090	40389	3813
